danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.717,0.656,0.9685416052958036,0.0797,0.141,2.96e-05,0.0661,0.695,2.107893904461901,-0.6929986401966802
0.924,0.668,0.02032623397191592,0.0469,0.446,0.000594,0.0678,0.787,0.28970022948926655,-0.0718792280152759
0.774,0.86,1.5994726345526613,0.13,0.131,0.0,0.116,0.446,-0.7727873761072098,-0.05608051163339763
0.705,0.783,0.8335441909640989,0.0403,0.138,0.0,0.0984,0.454,-0.6596647668566852,-0.4506113665263472
0.734,0.578,1.0906051356196798,0.295,0.155,0.000242,0.113,0.88,3.019892780716719,-0.9427834685663149
0.641,0.657,-0.6033294855305384,0.218,0.538,0.0,0.106,0.411,-0.7729011815491118,-0.18416989967622824
0.786,0.707,0.9940051894362147,0.0635,0.0399,0.0,0.121,0.691,-1.4546337136890108,0.406436622771733
0.73,0.587,0.7547283352913976,0.083,0.0223,0.0,0.14,0.109,-0.027854888564435604,0.7079557724082558
0.56,0.681,0.21878051671702609,0.244,0.103,0.0,0.106,0.388,1.3159218342663275,0.3732042818578026
0.819,0.675,1.0364444963369004,0.0727,0.0318,0.0,0.289,0.602,-1.039433526483447,0.12112086975227991
0.775,0.581,1.303205853998352,0.108,0.617,8.33e-06,0.0957,0.658,-0.5847049157906099,-0.7071786356377923
0.841,0.752,0.8529450169758409,0.105,0.167,0.00046,0.949,0.67,-0.7706250727110735,0.2327478658275181
0.806,0.746,0.600330094947951,0.0496,0.358,0.0,0.398,0.78,-0.6808325790504456,-0.8302176143454323
0.909,0.762,1.1605289460369996,0.0643,0.434,0.0,0.0856,0.843,-0.69813100621954,-0.9377168720217166
0.815,0.715,1.1576996589102875,0.129,0.0718,0.0,0.197,0.432,2.260848418378104,-0.6389495479844963
0.857,0.705,0.836777661966056,0.183,0.322,0.00249,0.197,0.874,-0.5834151207823882,0.6588114046465935
0.725,0.709,0.738965164156857,0.129,0.321,0.000189,0.114,0.648,-0.773773689937027,-0.11696060621561498
0.751,0.739,1.2918887054915025,0.0789,0.133,0.0,0.141,0.795,-0.998653243135253,-0.22339150807099362
0.787,0.775,0.9046805530071528,0.0699,0.0373,0.0,0.116,0.826,-0.8111398100281627,-0.3811196765392536
0.912,0.7,1.420419177819293,0.068,0.163,0.0,0.174,0.535,-0.5086828806001168,-0.4821278632430654
0.75,0.682,1.2207523434484486,0.0945,0.168,1.28e-06,0.112,0.618,-0.772142478603099,-0.5679524475224901
0.726,0.831,1.9442414801363255,0.12,0.0139,3.71e-06,0.0891,0.489,-0.925362538550406,-0.7731738883928309
0.911,0.778,1.8581503147092204,0.262,0.0887,2.16e-05,0.179,0.345,-0.9230864297123671,-0.6069636221949559
0.805,0.89,2.1596714856417103,0.0634,0.0704,0.0,0.121,0.489,-1.0376505745603162,-0.3221982342953634
0.677,0.695,-0.6300056212966839,0.381,0.136,0.0,0.669,0.176,-0.6275336970930387,-0.9032219287739885
0.704,0.884,0.23050184909912017,0.0527,0.549,0.000364,0.0492,0.964,-1.0368539364670026,0.45792813589750625
0.841,0.738,-0.2464351236895359,0.307,0.52,0.0,0.0892,0.484,1.8788414850606048,-0.44460591183610454
0.827,0.871,0.31255117577377894,0.123,0.0297,1.46e-06,0.336,0.562,0.1753636955251219,-0.3505420379681798
0.744,0.727,0.6496405277277951,0.0649,0.211,4.83e-05,0.351,0.847,1.3487736718286858,-0.7264737892517256
0.803,0.577,0.4895837131309241,0.216,0.423,0.0,0.246,0.452,-0.3929048110385467,1.8793269939843196
0.801,0.741,0.5146431133960908,0.0953,0.162,0.0,0.0584,0.652,-1.0018777306558075,-0.4917106912124014
0.897,0.755,0.46937451936869296,0.144,0.00758,0.000451,0.264,0.567,-0.39385318972106304,0.2242819553073108
0.82,0.565,0.35579885042495374,0.17,0.158,2.45e-05,0.0469,0.773,-0.5796595411996243,0.06046739610176984
0.73,0.701,0.3881335604445237,0.106,0.132,0.0,0.151,0.785,2.1076662935780974,0.11399849761290858
0.865,0.573,0.543340168538459,0.0678,0.0863,0.0,0.305,0.563,-0.9632218155564503,-0.7171661438423198
0.835,0.679,0.6128597950805346,0.0364,0.583,1.98e-06,0.218,0.85,0.17411183566420058,-0.609067959417952
0.529,0.528,0.05710696661917677,0.0846,0.306,0.0,0.604,0.364,-0.3875180201218552,3.0801103750541055
0.838,0.732,0.2341395039763219,0.0432,0.114,1.49e-06,0.0682,0.525,-0.9627665937888426,-0.13292119469156985
0.373,0.464,-0.7116507640960978,0.256,0.86,0.0135,0.127,0.301,-1.5510648581272517,0.609343292696778
0.751,0.722,1.0703959418574487,0.0506,0.457,0.0,0.178,0.788,0.7455289594538227,0.3216480198943986
0.536,0.396,-0.3874952961499097,0.0687,0.604,6.97e-05,0.0969,0.491,1.420888386847213,-0.2235210057462549
0.794,0.576,-2.128315246828505,0.0591,0.225,0.00381,0.0854,0.914,-0.9634494264402541,0.22429814251671845
0.81,0.487,1.2563205244699756,0.174,0.0914,0.0,0.143,0.647,3.0185650505611954,-0.733207668365313
0.521,0.592,-0.3765823315183048,0.0304,0.308,0.0,0.122,0.535,1.4255544099651922,0.8320792941462092
0.634,0.725,0.76806640317447,0.0587,0.0776,0.0,0.211,0.795,1.496720746301203,-0.7428228707534643
0.722,0.68,-0.09931219310049286,0.0846,0.0973,0.000293,0.58,0.713,1.9566085370269273,0.6473346731765611
0.733,0.527,0.3477151729200611,0.0486,0.364,0.0,0.0999,0.371,-0.3924495892709389,1.9663818061787266
0.815,0.856,1.2207523434484486,0.122,0.4,8.34e-05,0.244,0.872,-1.0771789980475888,-0.7866578338294135
0.858,0.665,0.8379902135917898,0.152,0.126,0.0,0.119,0.659,-0.7700939806488641,-0.07571559664489182
0.916,0.481,0.9547993535374865,0.194,0.0179,0.0,0.121,0.714,-0.9253246034031052,-0.4493163897737342
0.674,0.907,1.1152603520096018,0.064,0.101,0.0,0.297,0.721,-0.28171689430035507,-0.6957990274242057
0.7,0.582,0.35781976980117686,0.0356,0.0502,0.0,0.0881,0.785,-0.13953596221753584,0.29395170459788866
0.747,0.507,-1.344198528853934,0.0358,0.2,0.0608,0.117,0.438,-0.5846669806433096,0.16362848165680072
0.769,0.722,0.5498071105423731,0.0507,0.0584,2.56e-06,0.111,0.57,-0.015829446870131266,0.9022022853002016
0.66,0.756,1.253895421218508,0.032,0.00289,0.0,0.193,0.838,-0.16525599208737332,-0.47552348180473925
0.699,0.776,0.6318564372170318,0.0293,0.131,5.36e-06,0.205,0.708,-0.6231711551534648,-0.4015317476023156
0.722,0.706,0.8036345841959969,0.0292,0.072,0.0,0.067,0.599,-1.4954519321845057,-0.46898384920404373
0.644,0.874,0.8577952234787766,0.0265,0.0113,0.0,0.227,0.753,0.28932087801626044,-0.35706548335946764
0.675,0.586,0.3068926015203541,0.0531,0.257,0.0,0.104,0.621,-0.5073930855918947,-0.22499404180235216
0.742,0.757,0.7535157836656636,0.0421,0.0187,0.0,0.305,0.957,0.7432149154684831,-0.24966334893962927
0.739,0.727,0.3545862987992198,0.0426,0.0678,0.0,0.104,0.676,-0.9635632318821561,-0.45962764216641505
0.494,0.413,-1.4496905202927812,0.0254,0.682,6.72e-05,0.193,0.273,-0.9655358595417893,0.18962513996550615
0.53,0.406,-0.2674526852022562,0.033,0.656,0.0,0.133,0.338,-0.1688218959336343,-0.6979519262754249
0.898,0.472,-0.06293564432847676,0.0776,0.0107,0.0,0.141,0.214,-0.7332589526199372,1.1966799988443915
0.472,0.471,0.4661410483667359,0.0603,0.151,0.0,0.14,0.219,-0.5827322881309766,-0.3231047180221924
0.61,0.65,0.2612198236177118,0.0474,0.399,0.0,0.11,0.507,-0.5186218891928859,0.9351432564447941
0.467,0.247,-2.0842592044268407,0.0431,0.612,0.000271,0.17,0.126,1.0512103764024232,0.9906977591318906
